#,Reč,Značenje,Primer u rečenici
1,Hermelin,"Glupost, budalaština (zastarelo, arhaično)",Sve ovo što pričaš je čista hermelin.
2,Silesija,Stari naziv za živu vodu ili čistu vodu,Sa izvora je tekla bistra silesija.
3,Vrletna,"Strma, nepristupačna, divlja (često planina ili staza)",Popeo se na vrletne litice iznad doline.
4,Strovaljuje,"Silovito pada, obrušava se (npr. voda niz stenu)",Vodopad se strovaljuje s visoke stene.
5,Štimung,"Atmosfera, raspoloženje (germ. poreklo)",U sobi je vladao svečani štimung.
6,Mirnodopski,"U vezi sa mirovnim vremenima, bez ratova",Navike iz mirnodopskog života brzo su zaboravljene.
7,Osionost,"Bahatost, drskost, uzurpatorsko ponašanje",Njegova osionost nije imala granice.
8,Obligatno,"Obavezno, što se mora ili podrazumeva",Nošenje kacige je obligatno.
9,Taština,"Uobraženost, prazna samoljubivost",Njegova taština bila je smešna svima.
10,Polivalentan,"Višestruko primenljiv, s više značenja ili funkcija",Bio je polivalentan umetnik i mislilac.
11,Provansalska,"Što potiče iz Provanse, obično pesnički opis pejzaža",Selo je imalo provansalsku tišinu i toplinu.
12,Oblaporan,"Halapljiv, proždrljiv, sladostrasan","Oblaporan kao gladna zver, gutao je sve pred sobom."
13,Odurno,"Krajnje neprijatno, gadno",Njegovo ponašanje bilo je odurno svima prisutnima.
14,Dražesna,"Ljupka, šarmantna, prijatna",Bila je dražesna u svojoj jednostavnosti.
15,Umilan,"Nežan, blag, privlačan",Umilan glas razbio je tišinu sobe.
16,Pežorativno,"Uvredivo, sa negativnom konotacijom",Reč je upotrebljena u pežorativnom smislu.
17,Skrušen,"Ponizan, tih, duhovno povučen",Stajao je skrušeno pred ikonostasom.
18,Zgarište,"Mesto uništenja, najčešće posle požara",Na zgarištu kuće ostala je samo tišina.
19,Zlokobno,"Zloslutno, što nagoveštava nesreću",Vetar je zviždao zlokobno kroz granje.
20,Obdanica,"Dnevno svetlo, dan (poetski izraz)",U obdanici se budila nada.
21,Praskozorje,"Trenutak pre izlaska sunca, rana zora",Praskozorje je obojilo selo u srebrno.
22,Magnovenje,"Zanos, trenutačni bljesak svesti ili odsustvo iste",U magnovenju se setio njenog osmeha.
23,Pohoditi,Ići na sveto ili značajno mesto,"Pohodi crkvu svake godine, u tišini."
24,Zavitlavati,"Šaljivo zbunjivati, zadirkivati",Prestani da me zavitlavaš i reci istinu.
25,Zamantati,"Zbunjivati, izazivati vrtoglavicu",Pogled s visine ga je zamantao.
26,Tihovnost,"Tišina, duhovni mir, povučenost",Njegova soba odisala je tihovnošću.
27,Premilostiv,"Vrlo blag, saosećajan (religiozno)","Premilostivi Gospode, smiluj se nama."
28,Zgasnuti,"Postepeno nestati, izgubiti sjaj",Svetlo kandila zgasnu dok je molio.
29,Senovit,"Pun senki, zaklonjen, često i tajanstven",U senovitom uglu sedela je starica.
30,Opčinjenost,Intenzivna zadivljenost ili očaranost,Opčinjenost slikom nije jenjavala danima.
31,Titraj,"Sitno podrhtavanje, znak života, uzbuđenje",Titraj u njenom glasu ga je izdao.
32,Nanovo,"Ispočetka, iznova","Sve je krenulo nanovo, kao da prvi put živi."
33,Utočište,"Sigurno mesto, zaklon",U njenom zagrljaju našao je utočište.
34,Zanavek,"Zauvek, s osetnom težinom","Otišla je zanavek, bez pozdrava."
35,Tugaljiv,"Blago tužan, setan",Zvuci harmonike bili su tugaljivi.
36,Tanušan,"Tanak, jedva primetan",Tanušan osmeh joj se pojavio na licu.
37,Praskozorje,"Rana zora, pre svitanja",Praskozorje je donelo mir posle oluje.
38,Bezdan,"Velika dubina, često metafora",Njegov pogled krio je bezdan.
39,Magnovenje,"Trenutna, često maglovita svest",U magnovenju mu se ukazala istina.
40,,,
41,Ventuza,Prirodni fenomen usisavanja vode u obliku stuba,"Uragan se sjuri na okean, stvori se ventuza."
42,Lira,"Stara žičana muzička naprava, simbol pesništva","Sedam žica na liri vetrova, sedam nota ambisa."
43,Jarostan,Pun besa ili siline,Jarostan pogled presekao je tišinu.
44,Preimućstvo,"Prednost, nadmoć",Imao je preimućstvo u brzini.
45,Saraj,"Dvorska građevina, palata",Iza brežuljka zasijao je beli saraj.
46,Samovar,Ruska posuda za kuvanje čaja,Para se dizala iz mesinganog samovara.
47,Straobalno,Veoma zastrašujuće,Straobalno lice iskrsnu iz tame.
48,Blaziran,"Ravnodušan, zasićen užicima, otupeo, 2. uobražen","Blazirano je slegnuo ramenima na sve što mu je rečeno.
"
49,Heruvim,Anđeo nevinosti i svetlosti,"Detinjeg lica, sedeo je kao heruvim."
50,Metuzalem,Simbol za biće duboke starosti,"Star kao Metuzalem, jedva je hodao."
51,Grozomoran,"Jeziv, užasan",Grozomoran prizor sledio mu je krv.
52,Patvoreno,"Lažno, krivotvoreno",Njegovo saosećanje bilo je patvoreno.
53,Surevnjivost,"Zavist, takmičarski duh, ozlojeđenost",Pogled mu je gorio od surevnjivosti.
54,Grimizno,"Tamnocrveno, boja krvi",Nosila je grimizno odelo u zoru.
55,Galimatijas,"Zbrka, besmislen govor",Njegova priča zvučala je kao galimatijas.
56,Serafim,Anđeo uzvišene ljubavi i plamena,"Delovao je spokojno, poput serafima."
57,Šedrvan,Ukrasna fontana u dvorištu,Voda je šaptala iz kamenog šedrvana.
58,Panoptikum,"Prikaz čudnih ili izopačenih stvari, izložba retkosti",Njegova soba bila je pravi panoptikum.
59,Tapiserija,Tkani ukrasni zidni tepih,Zid je krasila tapiserija zlatnog sjaja.
60,Beslovesni,"Bez razuma, nagonski",Beslovesni gnev vodio ga je ka zločinu.
61,Snoliki,"Poput sna, nestvaran",Prolazili su kroz snolike predele.
